Node_ID X Y Z Area
186 2.75 7.00 0.00 0.0005
187 2.75 7.67 0.00 0.0005
188 2.75 8.34 0.00 0.0005
189 2.75 9.00 0.00 0.0005
190 2.75 9.67 0.00 0.0005
191 3.25 0.33 0.00 0.0005
192 3.25 1.00 0.00 0.0005
193 3.25 1.67 0.00 0.0005
194 3.25 2.33 0.00 0.0005
195 3.25 3.00 0.00 0.0005
196 3.25 3.67 0.00 0.0005
197 3.25 4.34 0.00 0.0005
198 3.25 5.00 0.00 0.0005
199 3.25 5.67 0.00 0.0005
200 3.25 6.34 0.00 0.0005
201 3.25 7.00 0.00 0.0005
202 3.25 7.67 0.00 0.0005
203 3.25 8.34 0.00 0.0005
204 3.25 9.00 0.00 0.0005
205 3.25 9.67 0.00 0.0005
206 3.75 0.33 0.00 0.0005
207 3.75 1.00 0.00 0.0005
208 3.75 1.67 0.00 0.0005
209 3.75 2.33 0.00 0.0005
210 3.75 3.00 0.00 0.0005
211 3.75 3.67 0.00 0.0005
212 3.75 4.34 0.00 0.0005
213 3.75 5.00 0.00 0.0005
214 3.75 5.67 0.00 0.0005
215 3.75 6.34 0.00 0.0005
216 3.75 7.00 0.00 0.0005
217 3.75 7.67 0.00 0.0005
218 3.75 8.34 0.00 0.0005
219 3.75 9.00 0.00 0.0005
220 3.75 9.67 0.00 0.0005
221 4.25 0.33 0.00 0.0005
222 4.25 1.00 0.00 0.0005
223 4.25 1.67 0.00 0.0005
224 4.25 2.33 0.00 0.0005
225 4.25 3.00 0.00 0.0005
226 4.25 3.67 0.00 0.0005
227 4.25 4.34 0.00 0.0005
228 4.25 5.00 0.00 0.0005
229 4.25 5.67 0.00 0.0005
230 4.25 6.34 0.00 0.0005
231 4.25 7.00 0.00 0.0005
232 4.25 7.67 0.00 0.0005
233 4.25 8.34 0.00 0.0005
234 4.25 9.00 0.00 0.0005
235 4.25 9.67 0.00 0.0005
236 4.75 0.33 0.00 0.0005
237 4.75 1.00 0.00 0.0005
238 4.75 1.67 0.00 0.0005
239 4.75 2.33 0.00 0.0005
240 4.75 3.00 0.00 0.0005
241 4.75 3.67 0.00 0.0005
242 4.75 4.34 0.00 0.0005
243 4.75 5.00 0.00 0.0005
244 4.75 5.67 0.00 0.0005
245 4.75 6.34 0.00 0.0005
246 4.75 7.00 0.00 0.0005
247 4.75 7.67 0.00 0.0005
248 4.75 8.34 0.00 0.0005
249 4.75 9.00 0.00 0.0005
250 4.75 9.67 0.00 0.0005
251 5.25 0.33 0.00 0.0005
252 5.25 1.00 0.00 0.0005
253 5.25 1.67 0.00 0.0005
254 5.25 2.33 0.00 0.0005
255 5.25 3.00 0.00 0.0005
256 5.25 3.67 0.00 0.0005
257 5.25 4.34 0.00 0.0005
258 5.25 5.00 0.00 0.0005
259 5.25 5.67 0.00 0.0005
260 5.25 6.34 0.00 0.0005
261 5.25 7.00 0.00 0.0005
262 5.25 7.67 0.00 0.0005
263 5.25 8.34 0.00 0.0005
264 5.25 9.00 0.00 0.0005
265 5.25 9.67 0.00 0.0005
266 5.75 0.33 0.00 0.0005
267 5.75 1.00 0.00 0.0005
268 5.75 1.67 0.00 0.0005
269 5.75 2.33 0.00 0.0005
270 5.75 3.00 0.00 0.0005
271 5.75 3.67 0.00 0.0005
272 5.75 4.34 0.00 0.0005
273 5.75 5.00 0.00 0.0005
274 5.75 5.67 0.00 0.0005
275 5.75 6.34 0.00 0.0005
276 5.75 7.00 0.00 0.0005
277 5.75 7.67 0.00 0.0005
278 5.75 8.34 0.00 0.0005
279 5.75 9.00 0.00 0.0005
280 5.75 9.67 0.00 0.0005
281 6.25 0.33 0.00 0.0005
282 6.25 1.00 0.00 0.0005
283 6.25 1.67 0.00 0.0005
284 6.25 2.33 0.00 0.0005
285 6.25 3.00 0.00 0.0005
286 6.25 3.67 0.00 0.0005
287 6.25 4.34 0.00 0.0005
288 6.25 5.00 0.00 0.0005
289 6.25 5.67 0.00 0.0005
290 6.25 6.34 0.00 0.0005
291 6.25 7.00 0.00 0.0005
292 6.25 7.67 0.00 0.0005
293 6.25 8.34 0.00 0.0005
294 6.25 9.00 0.00 0.0005
295 6.25 9.67 0.00 0.0005
296 6.75 0.33 0.00 0.0005
297 6.75 1.00 0.00 0.0005
298 6.75 1.67 0.00 0.0005
299 6.75 2.33 0.00 0.0005
300 6.75 3.00 0.00 0.0005
301 6.75 3.67 0.00 0.0005
302 6.75 4.34 0.00 0.0005
303 6.75 5.00 0.00 0.0005
304 6.75 5.67 0.00 0.0005
305 6.75 6.34 0.00 0.0005
306 6.75 7.00 0.00 0.0005
307 6.75 7.67 0.00 0.0005
308 6.75 8.34 0.00 0.0005
309 6.75 9.00 0.00 0.0005
310 6.75 9.67 0.00 0.0005
311 7.25 0.33 0.00 0.0005
312 7.25 1.00 0.00 0.0005
313 7.25 1.67 0.00 0.0005
314 7.25 2.33 0.00 0.0005
315 7.25 3.00 0.00 0.0005
316 7.25 3.67 0.00 0.0005
317 7.25 4.34 0.00 0.0005
318 7.25 5.00 0.00 0.0005
319 7.25 5.67 0.00 0.0005
320 7.25 6.34 0.00 0.0005
321 7.25 7.00 0.00 0.0005
322 7.25 7.67 0.00 0.0005
323 7.25 8.34 0.00 0.0005
324 7.25 9.00 0.00 0.0005
325 7.25 9.67 0.00 0.0005
326 7.75 0.33 0.00 0.0005
327 7.75 1.00 0.00 0.0005
328 7.75 1.67 0.00 0.0005
329 7.75 2.33 0.00 0.0005
330 7.75 3.00 0.00 0.0005
331 7.75 3.67 0.00 0.0005
332 7.75 4.34 0.00 0.0005
333 7.75 5.00 0.00 0.0005
334 7.75 5.67 0.00 0.0005
335 7.75 6.34 0.00 0.0005
336 7.75 7.00 0.00 0.0005
337 7.75 7.67 0.00 0.0005
338 7.75 8.34 0.00 0.0005
339 7.75 9.00 0.00 0.0005
340 7.75 9.67 0.00 0.0005
341 8.25 0.33 0.00 0.0005
342 8.25 1.00 0.00 0.0005
343 8.25 1.67 0.00 0.0005
344 8.25 2.33 0.00 0.0005
345 8.25 3.00 0.00 0.0005
346 8.25 3.67 0.00 0.0005
347 8.25 4.34 0.00 0.0005
348 8.25 5.00 0.00 0.0005
349 8.25 5.67 0.00 0.0005
350 8.25 6.34 0.00 0.0005
351 8.25 7.00 0.00 0.0005
352 8.25 7.67 0.00 0.0005
353 8.25 8.34 0.00 0.0005
354 8.25 9.00 0.00 0.0005
355 8.25 9.67 0.00 0.0005
356 8.75 0.33 0.00 0.0005
357 8.75 1.00 0.00 0.0005
358 8.75 1.67 0.00 0.0005
359 8.75 2.33 0.00 0.0005
360 8.75 3.00 0.00 0.0005
361 8.75 3.67 0.00 0.0005
362 8.75 4.34 0.00 0.0005
363 8.75 5.00 0.00 0.0005
364 8.75 5.67 0.00 0.0005
365 8.75 6.34 0.00 0.0005
366 8.75 7.00 0.00 0.0005
367 8.75 7.67 0.00 0.0005
368 8.75 8.34 0.00 0.0005
369 8.75 9.00 0.00 0.0005
370 8.75 9.67 0.00 0.0005
371 9.25 0.33 0.00 0.0005
372 9.25 1.00 0.00 0.0005
373 9.25 1.67 0.00 0.0005
374 9.25 2.33 0.00 0.0005
375 9.25 3.00 0.00 0.0005
376 9.25 3.67 0.00 0.0005
377 9.25 4.34 0.00 0.0005
378 9.25 5.00 0.00 0.0005
379 9.25 5.67 0.00 0.0005
380 9.25 6.34 0.00 0.0005
381 9.25 7.00 0.00 0.0005
382 9.25 7.67 0.00 0.0005
383 9.25 8.34 0.00 0.0005
384 9.25 9.00 0.00 0.0005
385 9.25 9.67 0.00 0.0005
386 9.75 0.33 0.00 0.0005
387 9.75 1.00 0.00 0.0005
388 9.75 1.67 0.00 0.0005
389 9.75 2.33 0.00 0.0005
390 9.75 3.00 0.00 0.0005
391 9.75 3.67 0.00 0.0005
392 9.75 4.34 0.00 0.0005
393 9.75 5.00 0.00 0.0005
394 9.75 5.67 0.00 0.0005
395 9.75 6.34 0.00 0.0005
396 9.75 7.00 0.00 0.0005
397 9.75 7.67 0.00 0.0005
398 9.75 8.34 0.00 0.0005
399 9.75 9.00 0.00 0.0005
400 9.75 9.67 0.00 0.0005
